OrderID,OrderDate,Category,Product,Region,SalesChannel,UnitPrice,Quantity,DiscountRate,Revenue,Cost,Profit
BSH-ORD-10001,2024-04-12,Consumer Electronics,Air Conditioner,North America,Retail Partner,750,7,0.05,4987.5,3255.0,1732.5
BSH-ORD-10002,2024-08-02,Home Appliances,Microwave,North America,Direct Sales,160,6,0.0,960.0,595.2,364.8
BSH-ORD-10003,2024-12-09,Small Domestic,Toaster,Europe-West,Distributor,40,1,0.0,40.0,24.8,15.2
BSH-ORD-10004,2024-01-22,Home Appliances,Washing Machine,Europe-West,Retail Partner,650,2,0.0,1300.0,806.0,494.0
BSH-ORD-10005,2025-11-30,Home Appliances,Vacuum Cleaner,Europe-West,Retail Partner,220,4,0.05,836.0,545.6,290.4
BSH-ORD-10006,2025-05-19,Home Appliances,Dishwasher,North America,Retail Partner,550,2,0.15,935.0,682.0,253.0
BSH-ORD-10007,2024-11-11,Consumer Electronics,Soundbar,Europe-West,Online Store,180,4,0.0,720.0,446.4,273.6
BSH-ORD-10008,2025-03-30,Consumer Electronics,Espresso Machine,Europe-West,Distributor,350,4,0.0,1400.0,868.0,532.0
BSH-ORD-10009,2025-01-22,Home Appliances,Vacuum Cleaner,Europe-West,Retail Partner,220,5,0.2,880.0,682.0,198.0
BSH-ORD-10010,2025-12-30,Home Appliances,Refrigerator,Middle East,Retail Partner,900,7,0.0,6300.0,3906.0,2394.0
BSH-ORD-10011,2025-12-27,Consumer Electronics,Soundbar,Europe-West,Online Store,180,2,0.05,342.0,223.2,118.8
BSH-ORD-10012,2024-08-04,Home Appliances,Oven,Europe-West,Online Store,480,5,0.0,2400.0,1488.0,912.0
BSH-ORD-10013,2025-06-04,Consumer Electronics,Espresso Machine,Europe-West,Online Store,350,3,0.1,945.0,651.0,294.0
BSH-ORD-10014,2025-11-05,Consumer Electronics,Air Conditioner,Europe-West,Online Store,750,1,0.15,637.5,465.0,172.5
BSH-ORD-10015,2024-07-19,Consumer Electronics,Soundbar,Europe-West,Online Store,180,6,0.0,1080.0,669.6,410.4
BSH-ORD-10016,2024-04-08,Consumer Electronics,Soundbar,Middle East,Retail Partner,180,5,0.2,720.0,558.0,162.0
BSH-ORD-10017,2025-10-04,Consumer Electronics,Soundbar,Europe-West,Online Store,180,3,0.05,513.0,334.8,178.2
BSH-ORD-10018,2024-01-15,Home Appliances,Oven,Europe-West,Online Store,480,7,0.05,3192.0,2083.2,1108.8
BSH-ORD-10019,2024-04-05,Consumer Electronics,Smart TV,Europe-West,Retail Partner,800,3,0.0,2400.0,1488.0,912.0
BSH-ORD-10020,2025-06-08,Home Appliances,Dishwasher,North America,Direct Sales,550,2,0.1,990.0,682.0,308.0
BSH-ORD-10021,2025-10-07,Home Appliances,Oven,Europe-West,Direct Sales,480,3,0.0,1440.0,892.8,547.2
BSH-ORD-10022,2024-12-13,Home Appliances,Vacuum Cleaner,Europe-West,Online Store,220,6,0.0,1320.0,818.4,501.6
BSH-ORD-10023,2024-09-15,Home Appliances,Dishwasher,Europe-Central,Online Store,550,3,0.0,1650.0,1023.0,627.0
BSH-ORD-10024,2025-10-25,Small Domestic,Toaster,Europe-West,Retail Partner,40,4,0.0,160.0,99.2,60.8
BSH-ORD-10025,2025-05-11,Home Appliances,Oven,Europe-West,Retail Partner,480,1,0.0,480.0,297.6,182.4
BSH-ORD-10026,2024-03-21,Home Appliances,Refrigerator,Europe-Central,Online Store,900,5,0.0,4500.0,2790.0,1710.0
BSH-ORD-10027,2025-01-19,Home Appliances,Refrigerator,Europe-Central,Retail Partner,900,6,0.0,5400.0,3348.0,2052.0
BSH-ORD-10028,2025-03-14,Consumer Electronics,Air Conditioner,Europe-West,Direct Sales,750,5,0.05,3562.5,2325.0,1237.5
BSH-ORD-10029,2024-07-16,Home Appliances,Washing Machine,Europe-West,Retail Partner,650,5,0.15,2762.5,2015.0,747.5
BSH-ORD-10030,2025-02-06,Consumer Electronics,Air Conditioner,Europe-West,Retail Partner,750,4,0.15,2550.0,1860.0,690.0
BSH-ORD-10031,2025-10-01,Consumer Electronics,Espresso Machine,Europe-West,Online Store,350,1,0.0,350.0,217.0,133.0
BSH-ORD-10032,2025-02-18,Small Domestic,Blender,Europe-West,Online Store,65,1,0.05,61.75,40.3,21.45
BSH-ORD-10033,2024-01-02,Small Domestic,Toaster,Middle East,Distributor,40,3,0.0,120.0,74.4,45.6
BSH-ORD-10034,2024-08-20,Home Appliances,Dishwasher,Middle East,Retail Partner,550,1,0.05,522.5,341.0,181.5
BSH-ORD-10035,2025-08-09,Small Domestic,Iron,Middle East,Retail Partner,55,3,0.0,165.0,102.3,62.7
BSH-ORD-10036,2025-04-17,Consumer Electronics,Smart TV,Europe-West,Online Store,800,2,0.1,1440.0,992.0,448.0
BSH-ORD-10037,2025-12-20,Small Domestic,Iron,North America,Online Store,55,5,0.0,275.0,170.5,104.5
BSH-ORD-10038,2025-05-18,Consumer Electronics,Air Conditioner,North America,Online Store,750,4,0.05,2850.0,1860.0,990.0
BSH-ORD-10039,2025-04-14,Home Appliances,Vacuum Cleaner,Europe-Central,Distributor,220,3,0.15,561.0,409.2,151.8
BSH-ORD-10040,2024-10-09,Home Appliances,Microwave,Europe-Central,Retail Partner,160,1,0.0,160.0,99.2,60.8
BSH-ORD-10041,2025-10-20,Consumer Electronics,Espresso Machine,North America,Online Store,350,4,0.05,1330.0,868.0,462.0
BSH-ORD-10042,2024-02-15,Small Domestic,Blender,North America,Distributor,65,5,0.05,308.75,201.5,107.25
BSH-ORD-10043,2024-06-29,Consumer Electronics,Espresso Machine,Middle East,Online Store,350,5,0.0,1750.0,1085.0,665.0
BSH-ORD-10044,2024-06-09,Home Appliances,Refrigerator,Europe-Central,Distributor,900,2,0.15,1530.0,1116.0,414.0
BSH-ORD-10045,2025-11-16,Home Appliances,Vacuum Cleaner,Europe-Central,Online Store,220,2,0.15,374.0,272.8,101.2
BSH-ORD-10046,2024-04-13,Consumer Electronics,Air Conditioner,North America,Retail Partner,750,2,0.1,1350.0,930.0,420.0
BSH-ORD-10047,2025-02-11,Small Domestic,Toaster,Europe-West,Retail Partner,40,4,0.05,152.0,99.2,52.8
BSH-ORD-10048,2025-05-26,Home Appliances,Vacuum Cleaner,Middle East,Online Store,220,4,0.05,836.0,545.6,290.4
BSH-ORD-10049,2025-12-27,Consumer Electronics,Air Conditioner,Europe-Central,Retail Partner,750,5,0.1,3375.0,2325.0,1050.0
BSH-ORD-10050,2025-07-23,Home Appliances,Oven,Europe-West,Online Store,480,3,0.0,1440.0,892.8,547.2
BSH-ORD-10051,2024-09-20,Consumer Electronics,Espresso Machine,Asia-Pacific,Retail Partner,350,6,0.0,2100.0,1302.0,798.0
BSH-ORD-10052,2024-12-15,Consumer Electronics,Air Conditioner,Europe-West,Online Store,750,2,0.05,1425.0,930.0,495.0
BSH-ORD-10053,2025-10-31,Home Appliances,Dishwasher,Europe-Central,Online Store,550,5,0.0,2750.0,1705.0,1045.0
BSH-ORD-10054,2024-05-06,Consumer Electronics,Smart TV,Europe-West,Distributor,800,7,0.0,5600.0,3472.0,2128.0
BSH-ORD-10055,2025-09-29,Home Appliances,Washing Machine,North America,Online Store,650,5,0.1,2925.0,2015.0,910.0
BSH-ORD-10056,2025-03-22,Home Appliances,Microwave,Europe-Central,Online Store,160,3,0.1,432.0,297.6,134.4
BSH-ORD-10057,2025-11-27,Home Appliances,Oven,Europe-West,Online Store,480,6,0.2,2304.0,1785.6,518.4
BSH-ORD-10058,2025-03-28,Home Appliances,Refrigerator,North America,Direct Sales,900,4,0.0,3600.0,2232.0,1368.0
BSH-ORD-10059,2024-12-22,Home Appliances,Refrigerator,Asia-Pacific,Direct Sales,900,4,0.0,3600.0,2232.0,1368.0
BSH-ORD-10060,2025-10-20,Consumer Electronics,Smart TV,Europe-Central,Retail Partner,800,7,0.15,4760.0,3472.0,1288.0
BSH-ORD-10061,2024-06-08,Small Domestic,Iron,North America,Retail Partner,55,1,0.05,52.25,34.1,18.15
BSH-ORD-10062,2025-11-21,Small Domestic,Iron,Europe-Central,Distributor,55,2,0.0,110.0,68.2,41.8
BSH-ORD-10063,2024-10-11,Home Appliances,Vacuum Cleaner,Europe-West,Online Store,220,3,0.0,660.0,409.2,250.8
BSH-ORD-10064,2024-03-30,Home Appliances,Refrigerator,North America,Online Store,900,3,0.0,2700.0,1674.0,1026.0
BSH-ORD-10065,2024-07-14,Consumer Electronics,Soundbar,North America,Direct Sales,180,4,0.05,684.0,446.4,237.6
BSH-ORD-10066,2025-11-06,Home Appliances,Washing Machine,Europe-Central,Retail Partner,650,3,0.05,1852.5,1209.0,643.5
BSH-ORD-10067,2024-04-05,Home Appliances,Vacuum Cleaner,Europe-Central,Online Store,220,7,0.1,1386.0,954.8,431.2
BSH-ORD-10068,2024-08-04,Home Appliances,Vacuum Cleaner,Asia-Pacific,Retail Partner,220,1,0.0,220.0,136.4,83.6
BSH-ORD-10069,2025-11-29,Home Appliances,Oven,Europe-West,Distributor,480,4,0.0,1920.0,1190.4,729.6
BSH-ORD-10070,2025-12-18,Consumer Electronics,Espresso Machine,Europe-Central,Retail Partner,350,5,0.0,1750.0,1085.0,665.0
BSH-ORD-10071,2025-01-30,Home Appliances,Dishwasher,Europe-West,Distributor,550,1,0.0,550.0,341.0,209.0
BSH-ORD-10072,2025-11-23,Home Appliances,Vacuum Cleaner,Europe-Central,Retail Partner,220,7,0.05,1463.0,954.8,508.2
BSH-ORD-10073,2025-10-19,Small Domestic,Kettle,North America,Retail Partner,45,5,0.1,202.5,139.5,63.0
BSH-ORD-10074,2024-06-22,Consumer Electronics,Soundbar,Europe-Central,Direct Sales,180,2,0.0,360.0,223.2,136.8
BSH-ORD-10075,2024-06-13,Home Appliances,Microwave,Europe-Central,Direct Sales,160,7,0.15,952.0,694.4,257.6
BSH-ORD-10076,2024-10-27,Consumer Electronics,Soundbar,North America,Retail Partner,180,4,0.05,684.0,446.4,237.6
BSH-ORD-10077,2024-03-31,Home Appliances,Dishwasher,Europe-West,Retail Partner,550,5,0.05,2612.5,1705.0,907.5
BSH-ORD-10078,2025-09-29,Home Appliances,Oven,North America,Direct Sales,480,7,0.1,3024.0,2083.2,940.8
BSH-ORD-10079,2024-12-13,Small Domestic,Blender,Europe-Central,Online Store,65,1,0.0,65.0,40.3,24.7
BSH-ORD-10080,2024-05-13,Small Domestic,Kettle,Asia-Pacific,Online Store,45,5,,225.0,139.5,85.5
BSH-ORD-10081,2024-07-31,Small Domestic,Kettle,Europe-West,Retail Partner,45,1,0.05,42.75,27.9,14.85
BSH-ORD-10082,2024-08-20,Home Appliances,Washing Machine,North America,Retail Partner,650,7,0.0,4550.0,2821.0,1729.0
BSH-ORD-10083,2024-01-12,Small Domestic,Iron,Middle East,Retail Partner,55,4,0.0,220.0,136.4,83.6
BSH-ORD-10084,2024-05-01,Home Appliances,Refrigerator,Europe-Central,Online Store,900,4,0.0,3600.0,2232.0,1368.0
BSH-ORD-10085,2024-02-10,Home Appliances,Dishwasher,North America,Retail Partner,550,1,0.05,522.5,341.0,181.5
BSH-ORD-10086,2025-04-05,Consumer Electronics,Smart TV,Europe-West,Online Store,800,6,0.15,4080.0,2976.0,1104.0
BSH-ORD-10087,2024-09-12,Consumer Electronics,Smart TV,Europe-Central,Distributor,800,2,0.05,1520.0,992.0,528.0
BSH-ORD-10088,2024-01-05,Home Appliances,Washing Machine,North America,Retail Partner,650,7,0.0,4550.0,2821.0,1729.0
BSH-ORD-10089,2024-10-08,Home Appliances,Vacuum Cleaner,Middle East,Retail Partner,220,1,0.05,209.0,136.4,72.6
BSH-ORD-10090,2024-04-08,Home Appliances,Microwave,Europe-West,Direct Sales,160,1,0.05,152.0,99.2,52.8
BSH-ORD-10091,2025-10-06,Small Domestic,Kettle,Europe-Central,Direct Sales,45,2,0.1,81.0,55.8,25.2
BSH-ORD-10092,2024-05-24,Home Appliances,Washing Machine,Europe-West,Distributor,650,5,0.0,3250.0,2015.0,1235.0
BSH-ORD-10093,2025-03-24,Consumer Electronics,Espresso Machine,Europe-West,Online Store,350,7,0.1,2205.0,1519.0,686.0
BSH-ORD-10094,2025-11-04,Home Appliances,Dishwasher,Europe-Central,Direct Sales,550,6,0.2,2640.0,2046.0,594.0
BSH-ORD-10095,2025-02-04,Home Appliances,Microwave,North America,Direct Sales,160,3,0.15,408.0,297.6,110.4
BSH-ORD-10096,2025-12-04,Home Appliances,Vacuum Cleaner,North America,Retail Partner,220,7,0.05,1463.0,954.8,508.2
BSH-ORD-10097,2025-03-22,Consumer Electronics,Smart TV,Europe-Central,Direct Sales,800,4,0.0,3200.0,1984.0,1216.0
BSH-ORD-10098,2024-04-15,Small Domestic,Kettle,North America,Retail Partner,45,1,0.05,42.75,27.9,14.85
BSH-ORD-10099,2025-05-22,Home Appliances,Microwave,Asia-Pacific,Retail Partner,160,5,0.0,800.0,496.0,304.0
BSH-ORD-10100,2024-02-12,Home Appliances,Dishwasher,Europe-Central,Retail Partner,550,7,0.05,3657.5,2387.0,1270.5
BSH-ORD-10101,2025-06-03,Home Appliances,Oven,Europe-West,Direct Sales,480,3,0.05,1368.0,892.8,475.2
BSH-ORD-10102,2025-11-02,Home Appliances,Refrigerator,Europe-West,Direct Sales,900,2,0.0,1800.0,1116.0,684.0
BSH-ORD-10103,2025-06-17,Home Appliances,Washing Machine,Europe-Central,Online Store,650,6,0.0,3900.0,2418.0,1482.0
BSH-ORD-10104,2024-03-18,Home Appliances,Dishwasher,Europe-West,Direct Sales,550,1,0.1,495.0,341.0,154.0
BSH-ORD-10105,2024-02-25,Small Domestic,Blender,Europe-Central,Online Store,65,4,0.1,234.0,161.2,72.8
BSH-ORD-10106,2025-09-16,Consumer Electronics,Espresso Machine,Europe-West,Online Store,350,6,0.0,2100.0,1302.0,798.0
BSH-ORD-10107,2024-01-28,Home Appliances,Refrigerator,North America,Online Store,900,3,0.1,2430.0,1674.0,756.0
BSH-ORD-10108,2025-09-14,Small Domestic,Blender,Europe-Central,Online Store,65,2,0.0,130.0,80.6,49.4
BSH-ORD-10109,2024-01-15,Home Appliances,Microwave,Europe-West,Retail Partner,160,1,0.0,160.0,99.2,60.8
BSH-ORD-10110,2025-04-18,Consumer Electronics,Smart TV,Middle East,Retail Partner,800,4,0.0,3200.0,1984.0,1216.0
BSH-ORD-10111,2024-08-20,Home Appliances,Oven,Europe-Central,Retail Partner,480,1,0.05,456.0,297.6,158.4
BSH-ORD-10112,2025-07-07,Home Appliances,Vacuum Cleaner,Middle East,Retail Partner,220,3,0.0,660.0,409.2,250.8
BSH-ORD-10113,2025-01-11,Home Appliances,Vacuum Cleaner,Europe-West,Online Store,220,4,0.15,748.0,545.6,202.4
BSH-ORD-10114,2025-03-21,Home Appliances,Washing Machine,Europe-West,Retail Partner,650,5,0.2,2600.0,2015.0,585.0
BSH-ORD-10115,2024-08-10,Small Domestic,Iron,Asia-Pacific,Direct Sales,55,6,0.2,264.0,204.6,59.4
BSH-ORD-10116,2025-08-28,Home Appliances,Dishwasher,Middle East,Direct Sales,550,3,0.05,1567.5,1023.0,544.5
BSH-ORD-10117,2025-03-10,Small Domestic,Kettle,Europe-West,Online Store,45,3,0.0,135.0,83.7,51.3
BSH-ORD-10118,2025-06-15,Home Appliances,Washing Machine,North America,Online Store,650,5,0.05,3087.5,2015.0,1072.5
BSH-ORD-10119,2025-05-25,Home Appliances,Dishwasher,Europe-Central,Online Store,550,2,0.05,1045.0,682.0,363.0
BSH-ORD-10120,2025-10-11,Small Domestic,Kettle,north america,Online Store,45,7,0.1,283.5,195.3,88.2
BSH-ORD-10121,2025-07-03,Home Appliances,Vacuum Cleaner,Europe-West,Direct Sales,220,4,0.2,704.0,545.6,158.4
BSH-ORD-10122,2024-11-29,Small Domestic,Blender,Asia-Pacific,Online Store,65,3,0.15,165.75,120.9,44.85
BSH-ORD-10123,2024-11-15,Consumer Electronics,Espresso Machine,North America,Direct Sales,350,5,0.0,1750.0,1085.0,665.0
BSH-ORD-10124,2024-10-17,Home Appliances,Microwave,Europe-West,Retail Partner,160,6,0.0,960.0,595.2,364.8
BSH-ORD-10125,2024-02-11,Home Appliances,Vacuum Cleaner,Middle East,Retail Partner,220,1,0.1,198.0,136.4,61.6
BSH-ORD-10126,2024-05-22,Consumer Electronics,Smart TV,Middle East,Online Store,800,6,0.0,4800.0,2976.0,1824.0
BSH-ORD-10127,2024-04-13,Consumer Electronics,Air Conditioner,Europe-Central,Online Store,750,3,0.0,2250.0,1395.0,855.0
BSH-ORD-10128,2025-03-23,Home Appliances,Microwave,Europe-Central,Direct Sales,160,3,0.1,432.0,297.6,134.4
BSH-ORD-10129,2025-07-03,Consumer Electronics,Smart TV,Europe-West,Direct Sales,800,6,0.0,4800.0,2976.0,1824.0
BSH-ORD-10130,2025-06-05,Home Appliances,Refrigerator,Europe-West,Direct Sales,900,7,0.0,6300.0,3906.0,2394.0
BSH-ORD-10131,2024-08-03,Consumer Electronics,Air Conditioner,North America,Online Store,750,7,0.05,4987.5,3255.0,1732.5
